cidade,Total_total,Total_cor_ou_raca,Total_se_considera,Total_nao_se_declara,EmTI_total,EmTI_cor_ou_raca,EmTI_se_considera,EmTI_nao_se_declara,Pop_total,Pop_cor_ou_raca,Pop_se_considera,Pop_nao_se_declara,Pop_em_TI_total,Pop_em_TI_cor_ou_raca,Pop_em_TI_se_considera,Pop_em_TI_nao_se_declara
Abaiara,5,5,0,0,0,0,0,0,10038,5,0,10033,0,0,0,0
Acarape,7,7,0,0,0,0,0,0,14027,7,0,14020,0,0,0,0
Acaraú,657,500,157,0,401,373,28,0,64806,500,157,64149,422,373,28,21
Acopiara,24,24,0,0,0,0,0,0,44962,24,0,44938,0,0,0,0
Aiuaba,4,4,0,0,0,0,0,0,14076,4,0,14072,0,0,0,0
Alcântaras,0,0,0,0,0,0,0,0,11369,0,0,11369,0,0,0,0
Altaneira,1,1,0,0,0,0,0,0,6782,1,0,6781,0,0,0,0
Alto Santo,5,5,0,0,0,0,0,0,14155,5,0,14150,0,0,0,0
Amontada,57,57,0,0,0,0,0,0,42156,57,0,42099,0,0,0,0
Antonina do Norte,4,4,0,0,0,0,0,0,7245,4,0,7241,0,0,0,0
Apuiarés,13,13,0,0,0,0,0,0,12893,13,0,12880,0,0,0,0
Aquiraz,544,454,90,0,340,322,18,0,80243,454,90,79699,382,322,18,42
Aracati,175,175,0,0,0,0,0,0,75112,175,0,74937,0,0,0,0
Aracoiaba,3,3,0,0,0,0,0,0,25553,3,0,25550,0,0,0,0
Ararendá,15,15,0,0,0,0,0,0,11096,15,0,11081,0,0,0,0
Araripe,9,9,0,0,0,0,0,0,19783,9,0,19774,0,0,0,0
Aratuba,814,719,95,0,0,0,0,0,11224,719,95,10410,0,0,0,0
Arneiroz,8,8,0,0,0,0,0,0,7429,8,0,7421,0,0,0,0
Assaré,9,9,0,0,0,0,0,0,21697,9,0,21688,0,0,0,0
Aurora,6,6,0,0,0,0,0,0,23714,6,0,23708,0,0,0,0
Baixio,10,10,0,0,0,0,0,0,5704,10,0,5694,0,0,0,0
Banabuiú,4,4,0,0,0,0,0,0,17195,4,0,17191,0,0,0,0
Barbalha,74,74,0,0,0,0,0,0,75033,74,0,74959,0,0,0,0
Barreira,9,6,3,0,0,0,0,0,22391,6,3,22382,0,0,0,0
Barro,12,12,0,0,0,0,0,0,19381,12,0,19369,0,0,0,0
Barroquinha,1,1,0,0,0,0,0,0,14567,1,0,14566,0,0,0,0
Baturité,204,116,88,0,0,0,0,0,35218,116,88,35014,0,0,0,0
Beberibe,37,37,0,0,0,0,0,0,53114,37,0,53077,0,0,0,0
Bela Cruz,29,29,0,0,0,0,0,0,32775,29,0,32746,0,0,0,0
Boa Viagem,475,400,75,0,0,0,0,0,50411,400,75,49936,0,0,0,0
Brejo Santo,26,26,0,0,0,0,0,0,51090,26,0,51064,0,0,0,0
Camocim,48,48,0,0,0,0,0,0,62326,48,0,62278,0,0,0,0
Campos Sales,79,15,64,0,0,0,0,0,25135,15,64,25056,0,0,0,0
Canindé,574,432,142,0,0,0,0,0,74174,432,142,73600,0,0,0,0
Capistrano,18,9,9,0,0,0,0,0,17254,9,9,17236,0,0,0,0
Caridade,11,11,0,0,0,0,0,0,16377,11,0,16366,0,0,0,0
Cariré,10,10,0,0,0,0,0,0,17632,10,0,17622,0,0,0,0
Caririaçu,21,17,4,0,0,0,0,0,26320,17,4,26299,0,0,0,0
Cariús,6,6,0,0,0,0,0,0,17015,6,0,17009,0,0,0,0
Carnaubal,866,744,122,0,0,0,0,0,17210,744,122,16344,0,0,0,0
Cascavel,96,96,0,0,0,0,0,0,72626,96,0,72530,0,0,0,0
Catarina,1,1,0,0,0,0,0,0,10243,1,0,10242,0,0,0,0
Catunda,69,67,2,0,0,0,0,0,10444,67,2,10375,0,0,0,0
Caucaia,17628,11904,5724,0,5791,5010,781,0,355679,11904,5724,338051,10552,5010,781,4761
Cedro,0,0,0,0,0,0,0,0,22344,0,0,22344,0,0,0,0
Chaval,0,0,0,0,0,0,0,0,12462,0,0,12462,0,0,0,0
Choró,0,0,0,0,0,0,0,0,12113,0,0,12113,0,0,0,0
Chorozinho,12,12,0,0,0,0,0,0,20163,12,0,20151,0,0,0,0
Coreaú,1,1,0,0,0,0,0,0,20952,1,0,20951,0,0,0,0
Crateús,3733,2172,1561,0,0,0,0,0,76390,2172,1561,72657,0,0,0,0
Crato,353,353,0,0,0,0,0,0,131050,353,0,130697,0,0,0,0
Croatá,5,5,0,0,0,0,0,0,17481,5,0,17476,0,0,0,0
Cruz,28,28,0,0,0,0,0,0,29628,28,0,29600,0,0,0,0
Deputado Irapuan Pinheiro,0,0,0,0,0,0,0,0,8932,0,0,8932,0,0,0,0
Ereré,4,4,0,0,0,0,0,0,6474,4,0,6470,0,0,0,0
Eusébio,54,54,0,0,0,0,0,0,74170,54,0,74116,0,0,0,0
Farias Brito,8,8,0,0,0,0,0,0,18217,8,0,18209,0,0,0,0
Forquilha,7,7,0,0,0,0,0,0,24173,7,0,24166,0,0,0,0
Fortaleza,4948,2997,1951,0,0,0,0,0,2428678,2997,1951,2423730,0,0,0,0
Fortim,17,17,0,0,0,0,0,0,17294,17,0,17277,0,0,0,0
Frecheirinha,10,10,0,0,0,0,0,0,15615,10,0,15605,0,0,0,0
General Sampaio,0,0,0,0,0,0,0,0,6734,0,0,6734,0,0,0,0
Graça,10,10,0,0,0,0,0,0,13801,10,0,13791,0,0,0,0
Granja,203,29,174,0,0,0,0,0,53344,29,174,53141,0,0,0,0
Granjeiro,1,1,0,0,0,0,0,0,4841,1,0,4840,0,0,0,0
Groaíras,28,9,19,0,0,0,0,0,10910,9,19,10882,0,0,0,0
Guaiúba,2,2,0,0,0,0,0,0,24217,2,0,24215,0,0,0,0
Guaraciaba do Norte,168,36,132,0,0,0,0,0,42053,36,132,41885,0,0,0,0
Guaramiranga,0,0,0,0,0,0,0,0,5654,0,0,5654,0,0,0,0
Hidrolândia,6,4,2,0,0,0,0,0,17855,4,2,17849,0,0,0,0
Horizonte,128,98,30,0,0,0,0,0,74754,98,30,74626,0,0,0,0
Ibaretama,0,0,0,0,0,0,0,0,11956,0,0,11956,0,0,0,0
Ibiapina,7,7,0,0,0,0,0,0,23965,7,0,23958,0,0,0,0
Ibicuitinga,6,6,0,0,0,0,0,0,11611,6,0,11605,0,0,0,0
Icapuí,6,6,0,0,0,0,0,0,21433,6,0,21427,0,0,0,0
Icó,17,5,12,0,0,0,0,0,62622,5,12,62605,0,0,0,0
Iguatu,114,114,0,0,0,0,0,0,98064,114,0,97950,0,0,0,0
Independência,19,19,0,0,0,0,0,0,24024,19,0,24005,0,0,0,0
Ipaporanga,5,5,0,0,0,0,0,0,11575,5,0,11570,0,0,0,0
Ipaumirim,1,1,0,0,0,0,0,0,12083,1,0,12082,0,0,0,0
Ipu,29,29,0,0,0,0,0,0,41081,29,0,41052,0,0,0,0
Ipueiras,62,62,0,0,0,0,0,0,36798,62,0,36736,0,0,0,0
Iracema,6,6,0,0,0,0,0,0,14001,6,0,13995,0,0,0,0
Irauçuba,6,6,0,0,0,0,0,0,23915,6,0,23909,0,0,0,0
Itaiçaba,3,3,0,0,0,0,0,0,7536,3,0,7533,0,0,0,0
Itaitinga,56,56,0,0,0,0,0,0,64648,56,0,64592,0,0,0,0
Itapajé,18,18,0,0,0,0,0,0,46426,18,0,46408,0,0,0,0
Itapipoca,745,629,116,0,542,540,2,0,131123,629,116,130378,980,540,2,438
Itapiúna,1,1,0,0,0,0,0,0,17841,1,0,17840,0,0,0,0
Itarema,5115,3683,1432,0,508,508,0,0,42726,3683,1432,37611,510,508,0,2
