,dtg,Ano,Mês,Dia,UF,Local,latitude,longitude,Magnitude,Obs
2,2023-10-05,2023,10,5,BA,Jaguarari,-9.85,-39.91,2.1,Magnitude não revisada/preliminar
3,2023-10-03,2023,10,3,BA,Curaçá,-9.84,-39.87,2.1,Magnitude não revisada/preliminar
4,2023-10-02,2023,10,2,BA,Jacobina,-11.23,-40.52,1.7,Magnitude não revisada/preliminar
5,2023-10-01,2023,10,1,BA,Jaguarari,-9.87,-39.93,1.9,Magnitude não revisada/preliminar
6,2023-10-01,2023,10,1,PE,Caruaru,-8.28,-36.03,1.7,Magnitude não revisada/preliminar
2,2023-09-26,2023,9,26,BA,Jaguarari,-9.92,-39.85,2.5,Magnitude não revisada/preliminar
3,2023-09-25,2023,9,25,BA,Jacobina,-11.19,-40.54,1.6,Magnitude não revisada/preliminar
4,2023-09-25,2023,9,25,BA,Jacobina,-11.22,-40.54,1.6,Magnitude não revisada/preliminar
5,2023-09-24,2023,9,24,BA,Jacobina,-11.29,-40.54,1.6,Magnitude não revisada/preliminar
6,2023-09-24,2023,9,24,BA,Jacobina,-11.29,-40.56,1.8,Magnitude não revisada/preliminar
7,2023-09-24,2023,9,24,BA,Curaçá,-9.59,-39.89,2.1,Magnitude não revisada/preliminar
8,2023-09-23,2023,9,23,BA,Candeal,-11.83,-39.18,1.8,Magnitude não revisada/preliminar
9,2023-09-23,2023,9,23,BA,Laje,-13.08,-39.47,1.7,Magnitude não revisada/preliminar
10,2023-09-21,2023,9,21,BA,Tanque Novo,-13.45,-42.59,3.2,Magnitude não revisada/preliminar
11,2023-09-21,2023,9,21,BA,Jaguarari,-9.88,-39.94,1.7,Magnitude não revisada/preliminar
12,2023-09-19,2023,9,19,BA,Jaguarari,-9.88,-39.9,1.8,Magnitude não revisada/preliminar
13,2023-09-18,2023,9,18,BA,Jacobina,-11.29,-40.54,1.6,Magnitude não revisada/preliminar
14,2023-09-17,2023,9,17,BA,Curaçá/Jaguarari,-9.85,-39.86,2.6,Magnitude não revisada/preliminar
15,2023-09-08,2023,9,8,BA,Jaguarari,-9.87,-39.9,1.8,Magnitude não revisada/preliminar
16,2023-09-05,2023,9,5,BA,Curaçá,-9.83,-39.73,1.6,Magnitude não revisada/preliminar
17,2023-09-04,2023,9,4,BA,Jaguarari,-9.88,-39.86,2.0,Magnitude não revisada/preliminar
18,2023-09-04,2023,9,4,BA,Jaguarari,-9.87,-39.87,2.2,Magnitude não revisada/preliminar
19,2023-09-04,2023,9,4,BA,Curaçá,-9.85,-39.84,2.3,Magnitude não revisada/preliminar
20,2023-09-03,2023,9,3,BA,Jaguarari,-9.87,-39.89,1.9,Magnitude não revisada/preliminar
21,2023-09-01,2023,9,1,BA,Jaguarari,-9.88,-39.85,2.0,Magnitude não revisada/preliminar
2,2023-08-31,2023,8,31,AL,Craíbas,-9.69,-36.74,2.2,Magnitude não revisada/preliminar
3,2023-08-31,2023,8,31,BA,Jaguarari,-9.88,-39.88,2.2,Magnitude não revisada/preliminar
4,2023-08-31,2023,8,31,BA,Curaçá,-9.84,-39.85,2.6,Magnitude não revisada/preliminar
5,2023-08-31,2023,8,31,BA,Curaçá,-9.85,-39.86,2.6,Magnitude não revisada/preliminar
