cod_ibge7,cidade,pct_IDG-Total,Total_total,Total_cor_ou_raca,Total_se_considera,Total_nao_se_declara,EmTI_total,pct_emTI,pct_foraTI,EmTI_cor_ou_raca,EmTI_se_considera,EmTI_nao_se_declara,Pop_total,Pop_cor_ou_raca,Pop_se_considera,Pop_nao_se_declara,Pop_em_TI_total,Pop_em_TI_cor_ou_raca,Pop_em_TI_se_considera,Pop_em_TI_nao_se_declara
2300101,Abaiara,0.05,5,5,0,0,0,0.0,100.0,0,0,0,10038,5,0,10033,0,0,0,0
2300150,Acarape,0.05,7,7,0,0,0,0.0,100.0,0,0,0,14027,7,0,14020,0,0,0,0
2300200,Acaraú,1.01,657,500,157,0,401,61.04,38.96,373,28,0,64806,500,157,64149,422,373,28,21
2300309,Acopiara,0.05,24,24,0,0,0,0.0,100.0,0,0,0,44962,24,0,44938,0,0,0,0
2300408,Aiuaba,0.03,4,4,0,0,0,0.0,100.0,0,0,0,14076,4,0,14072,0,0,0,0
2300507,Alcântaras,0.0,0,0,0,0,0,0.0,0.0,0,0,0,11369,0,0,11369,0,0,0,0
2300606,Altaneira,0.01,1,1,0,0,0,0.0,100.0,0,0,0,6782,1,0,6781,0,0,0,0
2300705,Alto Santo,0.04,5,5,0,0,0,0.0,100.0,0,0,0,14155,5,0,14150,0,0,0,0
2300754,Amontada,0.14,57,57,0,0,0,0.0,100.0,0,0,0,42156,57,0,42099,0,0,0,0
2300804,Antonina do Norte,0.06,4,4,0,0,0,0.0,100.0,0,0,0,7245,4,0,7241,0,0,0,0
2300903,Apuiarés,0.1,13,13,0,0,0,0.0,100.0,0,0,0,12893,13,0,12880,0,0,0,0
2301000,Aquiraz,0.68,544,454,90,0,340,62.5,37.5,322,18,0,80243,454,90,79699,382,322,18,42
2301109,Aracati,0.23,175,175,0,0,0,0.0,100.0,0,0,0,75112,175,0,74937,0,0,0,0
2301208,Aracoiaba,0.01,3,3,0,0,0,0.0,100.0,0,0,0,25553,3,0,25550,0,0,0,0
2301257,Ararendá,0.14,15,15,0,0,0,0.0,100.0,0,0,0,11096,15,0,11081,0,0,0,0
2301307,Araripe,0.05,9,9,0,0,0,0.0,100.0,0,0,0,19783,9,0,19774,0,0,0,0
2301406,Aratuba,7.25,814,719,95,0,0,0.0,100.0,0,0,0,11224,719,95,10410,0,0,0,0
2301505,Arneiroz,0.11,8,8,0,0,0,0.0,100.0,0,0,0,7429,8,0,7421,0,0,0,0
2301604,Assaré,0.04,9,9,0,0,0,0.0,100.0,0,0,0,21697,9,0,21688,0,0,0,0
2301703,Aurora,0.03,6,6,0,0,0,0.0,100.0,0,0,0,23714,6,0,23708,0,0,0,0
2301802,Baixio,0.18,10,10,0,0,0,0.0,100.0,0,0,0,5704,10,0,5694,0,0,0,0
2301851,Banabuiú,0.02,4,4,0,0,0,0.0,100.0,0,0,0,17195,4,0,17191,0,0,0,0
2301901,Barbalha,0.1,74,74,0,0,0,0.0,100.0,0,0,0,75033,74,0,74959,0,0,0,0
2301950,Barreira,0.04,9,6,3,0,0,0.0,100.0,0,0,0,22391,6,3,22382,0,0,0,0
2302008,Barro,0.06,12,12,0,0,0,0.0,100.0,0,0,0,19381,12,0,19369,0,0,0,0
2302057,Barroquinha,0.01,1,1,0,0,0,0.0,100.0,0,0,0,14567,1,0,14566,0,0,0,0
2302107,Baturité,0.58,204,116,88,0,0,0.0,100.0,0,0,0,35218,116,88,35014,0,0,0,0
2302206,Beberibe,0.07,37,37,0,0,0,0.0,100.0,0,0,0,53114,37,0,53077,0,0,0,0
