lat,lng,nome_ti,FASE,pop_idg_2022,pop_idg_2010,crescimento_2010_2022,var_pct
-23.710900412648247,-45.805988025904426,Ribeirão Silveira,Declarada,152.0,332.0,-180.0,-54.22
-23.35357853184511,-44.98199948951295,Boa Vista Sertão do Promirim,Regularizada,193.0,156.0,37.0,23.72
-23.99975842143209,-46.66359347187921,Rio Branco Itanhaém,Regularizada,30.0,80.0,-50.0,-62.5
-23.46425316455299,-46.754244672273174,Jaraguá,Regularizada,78.0,98.0,-20.0,-20.41
-23.86362536448995,-46.62103589214782,Krukutu,Regularizada,155.0,254.0,-99.0,-38.98
-21.565508467361475,-50.31308543795432,Icatu,Regularizada,142.0,138.0,4.0,2.9
-24.185013514632374,-46.985043374426716,Peruíbe,Regularizada,29.0,134.0,-105.0,-78.36
-21.802454427809934,-50.38305575773856,Vanuire,Regularizada,239.0,209.0,30.0,14.35
-14.258995824239715,-58.64709539224072,Paresi,Regularizada,1264.0,919.0,345.0,37.54
-14.16921968216543,-55.44723423455688,Santana,Regularizada,195.0,163.0,32.0,19.63
-14.297602578379664,-54.622398519722786,Bakairi,Regularizada,779.0,612.0,167.0,27.29
-16.530638564156394,-54.5125677093892,Tadarimana,Regularizada,561.0,390.0,171.0,43.85
-14.998700445530092,-57.0516758801265,Umutina,Regularizada,396.0,409.0,-13.0,-3.18
-12.938904175618362,-59.47210726504824,Nambikwara,Regularizada,614.0,476.0,138.0,28.99
-16.8647963723977,-56.19019062057414,Perigara,Regularizada,89.0,104.0,-15.0,-14.42
-14.809390466716835,-59.492989063986194,Sararé,Regularizada,200.0,188.0,12.0,6.38
1.583760461649575,-55.46476344717642,Parque do Tumucumaque,Regularizada,2250.0,1935.0,315.0,16.28
-11.567865758685008,-59.904566591836506,Parque do Aripuanã,Regularizada,494.0,394.0,100.0,25.38
-11.684572385855418,-50.37429113532224,Parque do Araguaia,Regularizada,4156.0,3279.0,877.0,26.75
-12.006286857522522,-53.4019146177786,Parque do Xingu,Regularizada,6167.0,4840.0,1327.0,27.42
-10.269645003464685,-65.08972750194602,Igarapé Ribeirão,Regularizada,392.0,210.0,182.0,86.67
-26.477876779448895,-50.983834694433725,Rio dos Pardos,Regularizada,,22.0,,
-4.282208485070938,-56.02764723827597,Praia do Índio,Encaminhada RI,158.0,99.0,59.0,59.6
-4.256321242732744,-55.973719914256144,Praia do Mangue,Encaminhada RI,180.0,0.0,180.0,
-5.431324793156989,-54.68490673299675,Xipaya,Regularizada,190.0,81.0,109.0,134.57
-2.294288681113897,-48.33826024610564,Turé/Mariquita,Regularizada,24.0,,,
-14.108536091033008,-59.54434712596167,Taihantesu,Regularizada,,218.0,,
-9.81378999601413,-37.38297855210428,Caiçara/Ilha de São Pedro,Regularizada,329.0,316.0,13.0,4.11
-5.375676148467898,-45.91703646808409,Urucu/Juruá,Regularizada,1037.0,835.0,202.0,24.19
-0.8397407692773851,-60.663614935648226,Waimiri-Atroari,Regularizada,2199.0,1381.0,818.0,59.23
-4.109502388577073,-52.941749391745084,Kararaô,Regularizada,87.0,59.0,28.0,47.46
-4.797636832883471,-50.13104968068643,Parakanã,Regularizada,1325.0,840.0,485.0,57.74
-9.533885692453827,-48.11534283213764,Xerente,Regularizada,3323.0,2357.0,966.0,40.98
-8.380613427586187,-47.41406416733904,Kraolandia,Regularizada,3672.0,2554.0,1118.0,43.77
-12.846380763163728,-57.9701480439133,Irantxe,Regularizada,355.0,389.0,-34.0,-8.74
-13.421852943463708,-51.63253884347835,Pimentel Barbosa,Regularizada,2369.0,1743.0,626.0,35.92
-15.215681173223473,-52.71501690180346,São Marcos - MT,Regularizada,3660.0,3138.0,522.0,16.63
-14.389223596507842,-51.96127915607671,Areões,Regularizada,1321.0,965.0,356.0,36.89
-15.557236384791185,-53.0572867376803,Merure,Regularizada,805.0,657.0,148.0,22.53
-11.26330386922963,-58.269050581249445,Erikpatsá,Regularizada,1094.0,908.0,186.0,20.48
-8.712102637587385,-57.29220460317719,Kayabi,Regularizada,1189.0,517.0,672.0,129.98
-20.660874064136504,-57.244112633225406,Kadiwéu,Regularizada,1231.0,1527.0,-296.0,-19.38
-14.382755078007085,-53.17459419400479,Parabubure,Regularizada,7608.0,8392.0,-784.0,-9.34
-10.657546901180137,-38.63227048097489,Kiriri,Regularizada,2539.0,2277.0,262.0,11.51
-5.61940153257524,-45.548638901391136,Cana Brava/Guajajara,Regularizada,10662.0,7133.0,3529.0,49.47
-5.324862978191122,-45.734928713869735,Lagoa Comprida,Regularizada,1298.0,808.0,490.0,60.64
-5.703405441327475,-45.228387661613276,Rodeador,Regularizada,574.0,632.0,-58.0,-9.18
-5.018428857551614,-45.698156461271026,Geralda Toco Preto,Regularizada,150.0,160.0,-10.0,-6.25
-24.084803031622418,-46.69837982408412,Itaóca,Declarada,138.0,89.0,49.0,55.06
-24.647609769226687,-51.276903844984986,Faxinal,Regularizada,622.0,605.0,17.0,2.81
-23.790884914061476,-50.92928613679491,Apucarana,Regularizada,1636.0,1415.0,221.0,15.62
-23.560344381986546,-50.07132167901807,Pinhalzinho,Regularizada,138.0,120.0,18.0,15.0
-25.01933180933145,-54.066957492280075,Tekohá Añetete,Regularizada,263.0,422.0,-159.0,-37.68
-25.291326186569425,-52.70190097185357,Rio das Cobras,Regularizada,3102.0,2246.0,856.0,38.11
-27.139673863735677,-52.464739401727044,Toldo Pinhal,Declarada,13.0,538.0,-525.0,-97.58
-23.055312563481763,-54.91896848383058,Jaguari,Regularizada,339.0,321.0,18.0,5.61
-23.722025761454006,-54.95345173048005,Jaguapiré,Regularizada,1835.0,931.0,904.0,97.1
-23.588711863704827,-54.28999651471119,Cerrito,Regularizada,291.0,544.0,-253.0,-46.51
-12.36917268540026,-61.40613168125732,Kwazá do Rio São Pedro,Regularizada,63.0,,,
-12.561670222069363,-62.57127026484321,Massaco,Regularizada,,0.0,,
-12.81297042015247,-61.105428167033914,Rio Omerê,Homologada,,,,
-8.834496569166854,-72.19333982974447,Jaminawa Arara do Rio Bagé,Regularizada,223.0,195.0,28.0,14.36
-9.52366551113683,-71.06813347247115,Jaminaua/Envira,Regularizada,213.0,77.0,136.0,176.62
